Home,Work/Study,Leisure,Errands,Reference_Total
0.0,0.0,0.0,0.0,489.5181303024292
0.0,0.0,0.0,0.0,507.48729038238525
0.0,0.0,0.0,0.0,507.48729038238525
0.0,0.0,0.0,0.0,518.4302997589111
0.0,0.0,0.0,0.0,518.4302997589111
0.0,0.0,0.0,0.0,515.416585445404
0.0,0.0,0.0,0.0,526.2849841117859
0.0,0.0,0.0,0.0,533.2372846603394
0.0,0.0,0.0,0.0,522.2728958129883
0.0,0.0,0.0,0.0,522.2604885101318
0.0,0.0,0.0,0.0,537.2269945144653
0.0,0.0,0.0,0.0,530.2697367668152
0.0,0.0,0.0,0.0,533.3011474609375
0.0,0.0,0.0,0.0,559.2199778556824
0.0,0.0,0.0,0.0,573.0862102508545
0.0,0.0,0.0,0.0,584.067741394043
0.0,0.0,0.0,0.0,595.0150871276855
0.0,0.0,0.0,0.0,612.87424659729
0.0,0.0,0.0,0.0,612.87424659729
0.0,0.0,0.0,0.0,612.87424659729
0.0,0.0,0.0,0.0,623.6018800735474
0.0,0.0,0.0,0.0,623.6018800735474
0.0,0.0,0.0,0.0,630.5714273452759
0.0,0.0,0.0,0.0,623.6901535987854
0.0,0.0,0.0,0.0,613.039074420929
0.0,0.0,0.0,0.0,613.039074420929
0.0,0.0,0.0,0.0,630.9687223434448
0.0,0.0,0.0,0.0,630.9507131576538
0.0,0.0,0.0,0.0,630.9507131576538
0.0,0.0,0.0,0.0,627.1174416542053
0.0,0.0,0.0,0.0,627.1174416542053
0.0,0.0,0.0,0.0,627.1174416542053
0.0,0.0,0.0,0.0,616.1236796379089
0.0,0.0,0.0,0.0,630.0617394447327
0.0,0.0,0.0,0.0,623.1320667266846
0.0,0.0,0.0,0.0,608.2066884040833
0.0,0.0,0.0,0.0,618.9738669395447
0.0,0.0,0.0,0.0,612.0823221206665
0.0,0.0,0.0,0.0,618.9507517814636
0.0,0.0,0.0,0.0,608.2231183052063
0.0,0.0,0.0,0.0,615.2231183052063
0.0,0.0,0.0,0.0,586.23566198349
0.0,0.0,0.0,0.0,579.2619829177856
0.0,0.0,0.0,0.0,579.1094274520874
0.0,0.0,0.0,0.0,568.2054462432861
0.0,0.0,0.0,0.0,568.2173624038696
0.0,0.0,0.0,0.0,579.2069578170776
0.0,0.0,0.0,0.0,579.2069578170776
0.0,0.0,0.0,0.0,597.178505897522
0.0,0.0,0.0,0.0,604.1671195030212
0.0,0.0,0.0,0.0,614.6270442008972
0.0,0.0,0.0,0.0,607.7129664421082
0.0,0.0,0.0,0.0,618.5952019691467
0.0,0.0,0.0,0.0,607.6430583000183
0.0,0.0,0.0,0.0,600.5990786552429
0.0,0.0,0.0,0.0,600.5990786552429
0.0,0.0,0.0,0.0,611.5716881752014
0.0,0.0,0.0,0.0,633.327835559845
0.0,0.0,0.0,0.0,633.327835559845
0.0,0.0,0.0,0.0,640.3032059669495
0.0,0.0,0.0,0.0,618.3636088371277
0.0,0.0,0.0,0.0,618.3636088371277
0.0,0.0,0.0,0.0,611.4021196365356
0.0,0.0,0.0,0.0,622.3740549087524
0.0,0.0,0.0,0.0,622.3740549087524
0.0,0.0,0.0,0.0,615.3740549087524
0.0,0.0,0.0,0.0,633.3740549087524
0.0,0.0,0.0,0.0,633.3740549087524
0.0,0.0,0.0,0.0,615.9511542320251
0.0,0.0,0.0,0.0,587.1127562522888
0.0,0.0,0.0,0.0,580.2443265914917
0.0,0.0,0.0,0.0,573.2512946128845
0.0,0.0,0.0,0.0,573.2512946128845
0.0,0.0,0.0,0.0,573.2512946128845
0.0,0.0,0.0,0.0,544.5176100730896
0.0,0.0,0.0,0.0,537.5514283180237
0.0,0.0,0.0,0.0,544.4642400741577
0.0,0.0,0.0,0.0,533.4746446609497
0.0,0.0,0.0,0.0,540.348090171814
0.0,0.0,0.0,0.0,533.3644280433655
0.0,0.0,0.0,0.0,537.2803492546082
0.0,0.0,0.0,0.0,530.2940139770508
0.0,0.0,0.0,0.0,537.2090835571289
0.0,0.0,0.0,0.0,508.31270599365234
0.0,0.0,0.0,0.0,486.4912142753601
0.0,0.0,0.0,0.0,482.6119694709778
0.0,0.0,0.0,0.0,486.55371475219727
0.0,0.0,0.0,0.0,486.52596950531006
0.0,0.0,0.0,0.0,497.4423370361328
0.0,0.0,0.0,0.0,500.4566617012024
0.0,0.0,0.0,0.0,489.6444888114929
0.0,0.0,0.0,0.0,494.25329637527466
0.0,0.0,0.0,0.0,487.28675079345703
0.0,0.0,0.0,0.0,489.70865774154663
0.0,0.0,0.0,0.0,482.75879096984863
0.0,0.0,0.0,0.0,489.7259449958801
0.0,0.0,0.0,0.0,489.7259449958801
